index,filename,x,y,w,h
1,sheet_ru_2_element_001.png,43,8,169,81
2,sheet_ru_2_element_002.png,207,15,269,69
3,sheet_ru_2_element_003.png,1204,21,299,61
4,sheet_ru_2_element_004.png,12,132,195,174
5,sheet_ru_2_element_005.png,200,132,194,174
6,sheet_ru_2_element_006.png,387,132,196,174
7,sheet_ru_2_element_007.png,576,131,196,175
8,sheet_ru_2_element_008.png,765,131,195,175
9,sheet_ru_2_element_009.png,953,132,195,174
10,sheet_ru_2_element_010.png,1141,132,195,174
11,sheet_ru_2_element_011.png,1330,131,194,175
12,sheet_ru_2_element_012.png,14,358,104,100
13,sheet_ru_2_element_013.png,118,358,105,100
14,sheet_ru_2_element_014.png,223,358,106,100
15,sheet_ru_2_element_015.png,330,358,106,100
16,sheet_ru_2_element_016.png,437,358,106,100
17,sheet_ru_2_element_017.png,544,358,107,100
18,sheet_ru_2_element_018.png,652,358,115,100
19,sheet_ru_2_element_019.png,814,358,120,100
20,sheet_ru_2_element_020.png,933,358,117,100
21,sheet_ru_2_element_021.png,1050,358,111,100
22,sheet_ru_2_element_022.png,1160,358,116,100
23,sheet_ru_2_element_023.png,1275,358,116,100
24,sheet_ru_2_element_024.png,1390,358,122,100
25,sheet_ru_2_element_025.png,14,545,105,100
26,sheet_ru_2_element_026.png,117,545,106,100
27,sheet_ru_2_element_027.png,220,545,106,100
28,sheet_ru_2_element_028.png,321,545,106,100
29,sheet_ru_2_element_029.png,424,545,110,100
30,sheet_ru_2_element_030.png,532,545,109,100
31,sheet_ru_2_element_031.png,634,545,124,125
32,sheet_ru_2_element_032.png,764,545,107,100
33,sheet_ru_2_element_033.png,868,545,107,100
34,sheet_ru_2_element_034.png,971,545,106,100
35,sheet_ru_2_element_035.png,1073,545,105,100
36,sheet_ru_2_element_036.png,1186,541,115,104
37,sheet_ru_2_element_037.png,1298,541,115,104
38,sheet_ru_2_element_038.png,1411,541,113,104
39,sheet_ru_2_element_039.png,15,741,175,85
40,sheet_ru_2_element_040.png,179,741,331,86
41,sheet_ru_2_element_041.png,499,741,174,85
42,sheet_ru_2_element_042.png,662,741,176,86
43,sheet_ru_2_element_043.png,869,742,126,78
44,sheet_ru_2_element_044.png,989,742,125,79
45,sheet_ru_2_element_045.png,1133,737,144,86
46,sheet_ru_2_element_046.png,1266,737,264,87
47,sheet_ru_2_element_047.png,14,884,198,80
48,sheet_ru_2_element_048.png,205,884,158,80
49,sheet_ru_2_element_049.png,357,884,171,80
50,sheet_ru_2_element_050.png,521,884,199,80
51,sheet_ru_2_element_051.png,714,886,165,73
52,sheet_ru_2_element_052.png,890,886,159,94
53,sheet_ru_2_element_053.png,1046,886,158,94
54,sheet_ru_2_element_054.png,1201,886,161,93
55,sheet_ru_2_element_055.png,1359,886,163,93
