sheet,index,filename,x,y,w,h
sheet_ru_2,24,sheet_ru_2_element_024.png,1390,358,122,100
sheet_ru_2,25,sheet_ru_2_element_025.png,14,545,105,100
sheet_ru_2,26,sheet_ru_2_element_026.png,117,545,106,100
sheet_ru_2,27,sheet_ru_2_element_027.png,220,545,106,100
sheet_ru_2,28,sheet_ru_2_element_028.png,321,545,106,100
sheet_ru_2,29,sheet_ru_2_element_029.png,424,545,110,100
sheet_ru_2,30,sheet_ru_2_element_030.png,532,545,109,100
sheet_ru_2,31,sheet_ru_2_element_031.png,634,545,124,125
sheet_ru_2,32,sheet_ru_2_element_032.png,764,545,107,100
sheet_ru_2,33,sheet_ru_2_element_033.png,868,545,107,100
sheet_ru_2,34,sheet_ru_2_element_034.png,971,545,106,100
sheet_ru_2,35,sheet_ru_2_element_035.png,1073,545,105,100
sheet_ru_2,36,sheet_ru_2_element_036.png,1186,541,115,104
sheet_ru_2,37,sheet_ru_2_element_037.png,1298,541,115,104
sheet_ru_2,38,sheet_ru_2_element_038.png,1411,541,113,104
sheet_ru_2,39,sheet_ru_2_element_039.png,15,741,175,85
sheet_ru_2,40,sheet_ru_2_element_040.png,179,741,331,86
sheet_ru_2,41,sheet_ru_2_element_041.png,499,741,174,85
sheet_ru_2,42,sheet_ru_2_element_042.png,662,741,176,86
sheet_ru_2,43,sheet_ru_2_element_043.png,869,742,126,78
sheet_ru_2,44,sheet_ru_2_element_044.png,989,742,125,79
sheet_ru_2,45,sheet_ru_2_element_045.png,1133,737,144,86
sheet_ru_2,46,sheet_ru_2_element_046.png,1266,737,264,87
sheet_ru_2,47,sheet_ru_2_element_047.png,14,884,198,80
sheet_ru_2,48,sheet_ru_2_element_048.png,205,884,158,80
sheet_ru_2,49,sheet_ru_2_element_049.png,357,884,171,80
sheet_ru_2,50,sheet_ru_2_element_050.png,521,884,199,80
sheet_ru_2,51,sheet_ru_2_element_051.png,714,886,165,73
sheet_ru_2,52,sheet_ru_2_element_052.png,890,886,159,94
sheet_ru_2,53,sheet_ru_2_element_053.png,1046,886,158,94
sheet_ru_2,54,sheet_ru_2_element_054.png,1201,886,161,93
sheet_ru_2,55,sheet_ru_2_element_055.png,1359,886,163,93
